"orderid","ordercode","dateid","shipmodeid","customerid","productid","cityid","sales"
63,CA-2017-141397,329,4,208,301,452,161.568
64,CA-2018-144064,385,4,311,206,135,27.44
65,CA-2015-105340,607,4,217,426,451,6.928
66,CA-2018-144064,385,4,311,1295,135,3.24
67,US-2018-164147,664,4,338,733,358,59.97
68,CA-2016-129700,403,4,139,1459,330,22.288
69,US-2018-164147,664,4,338,804,358,78.304
70,US-2018-164147,664,4,338,230,358,21.456
71,CA-2017-117590,745,4,477,501,605,1097.544
72,CA-2016-130554,647,4,499,1797,617,11.736
73,CA-2015-159338,301,4,536,743,285,447.84
74,CA-2018-148264,408,4,296,181,618,29.79
75,CA-2018-148264,408,4,296,912,618,60.12
76,CA-2018-151596,494,4,329,551,68,42.76
77,CA-2017-107216,273,4,458,1105,16,7.04
78,CA-2017-166625,161,4,259,285,111,25.06
79,CA-2017-107216,273,4,458,1001,16,8.73
80,US-2016-100531,147,4,630,1458,329,15.08
81,US-2016-100531,147,4,630,1290,329,24.288
82,CA-2017-107216,273,4,458,938,16,29.29
83,CA-2017-107216,273,4,458,62,16,8.64
84,CA-2017-158869,13,4,186,1398,543,70.88
85,CA-2018-136448,300,4,388,1788,248,71.976
86,CA-2018-136448,300,4,388,126,248,22.512
87,CA-2018-136448,300,4,388,1732,248,3.444
88,CA-2018-136448,300,4,388,94,248,538.194
89,CA-2018-136448,300,4,388,484,248,47.984
90,US-2018-169551,600,4,730,1064,443,87.21
91,US-2018-169551,600,4,730,716,443,15.552
92,US-2018-169551,600,4,730,690,443,683.988
93,US-2018-169551,600,4,730,393,443,13.392
94,US-2018-169551,600,4,730,1305,443,16.776
95,US-2018-169551,600,4,730,77,443,527.92
96,CA-2017-147417,418,4,653,919,358,1439.976
97,CA-2017-117590,745,4,477,260,605,190.92
98,US-2017-134656,300,4,595,1388,135,99.136
99,US-2018-119662,417,4,410,337,466,230.376
100,CA-2017-144911,737,4,770,163,35,34.95
101,CA-2017-144911,737,4,770,1615,35,152
102,CA-2017-134775,656,4,293,585,607,50.96
103,US-2015-105151,732,4,403,290,126,10.5
104,CA-2017-166912,630,4,52,1842,126,81.98
105,CA-2015-141726,669,4,218,713,55,104.85
106,CA-2015-141726,669,4,218,378,55,8.704
107,CA-2015-141726,669,4,218,1782,55,19.92
108,CA-2015-141726,669,4,218,689,55,43.02
109,CA-2015-124023,483,4,211,748,357,8.96
110,CA-2015-124688,510,4,442,57,460,579.95
111,CA-2015-124688,510,4,442,195,460,29.12
112,CA-2015-124688,510,4,442,1327,460,1202.94
113,CA-2015-131905,284,4,623,79,385,15
114,CA-2018-116953,45,4,401,513,1,552
115,CA-2015-131905,284,4,623,239,385,161.61
116,CA-2015-131905,284,4,623,1791,385,144.95
117,CA-2018-165386,648,4,785,974,466,183.372
118,CA-2018-129028,212,4,257,644,439,127.95
119,CA-2015-115973,235,4,192,342,628,2.624
120,CA-2017-159016,488,4,575,1441,188,14.9
121,CA-2017-159016,488,4,575,1203,188,4158.912
122,CA-2018-140326,551,4,25,1487,271,825.174
123,CA-2018-140326,551,4,25,844,271,6.912
124,CA-2017-168354,608,4,212,1718,446,1606.23
125,US-2017-113649,397,4,626,508,465,30.816
126,US-2018-128832,45,4,422,1248,446,69.98
127,US-2017-113649,397,4,626,1638,465,44.784
128,US-2017-113649,397,4,626,227,465,569.536
129,CA-2017-157364,617,4,573,1169,225,18.48
130,US-2017-112970,226,4,695,1028,285,9.84
131,CA-2016-124975,688,4,290,798,293,796.425
132,CA-2018-104010,287,4,28,1497,28,54.9
133,CA-2017-168354,608,4,212,102,446,49.53
134,CA-2017-168354,608,4,212,18,446,872.32
135,CA-2016-114237,255,4,193,106,414,141.96
136,CA-2016-169397,515,4,253,487,106,5.584
137,CA-2016-169397,515,4,253,1483,106,22.704
138,CA-2017-152765,145,4,433,1424,5,173.488
